T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

5034.433,23.344,0.000,0.000,4000,18.323,1078
5051.071,23.348,0.000,0.000,4000,18.323,1078
5060.978,23.348,0.000,0.000,4000,18.323,1093
5070.338,23.348,0.000,0.000,4000,18.323,1093
5078.937,23.348,0.000,0.000,4000,18.323,1093
5088.369,23.353,0.000,0.000,4000,18.323,1093
5096.978,23.353,0.000,0.000,4000,18.323,1093
5106.960,23.353,0.000,0.000,4000,18.323,1093
5115.985,23.353,0.000,0.000,4000,18.323,1093
5124.789,23.353,0.000,0.000,4000,18.323,1093
5134.710,23.366,0.000,0.000,4000,18.323,1093
5142.945,23.366,0.000,0.000,4000,18.323,1093
5148.914,23.366,0.000,0.000,4000,18.323,1110
5155.979,23.366,0.000,0.000,4000,18.323,1110
5164.907,23.366,0.000,0.000,4000,18.323,1110
5171.935,23.366,0.000,0.000,4000,18.323,1110
5179.952,23.370,0.000,0.000,4000,18.323,1110
5188.218,23.370,0.000,0.000,4000,18.323,1110
5194.762,23.370,0.000,0.000,4000,18.323,1110
5201.004,23.370,0.000,0.000,4000,18.323,1110
5210.658,23.370,0.000,0.000,4000,18.323,1110
5219.481,23.370,0.000,0.000,4000,18.323,1110
5225.895,23.366,0.000,0.000,4000,18.323,1110
5232.936,23.366,0.000,0.000,4000,18.323,1110
5239.925,23.366,0.000,0.000,4000,18.323,1082
5245.802,23.366,0.000,0.000,4000,18.323,1082
5252.786,23.366,0.000,0.000,4000,18.323,1082
5260.017,23.366,0.000,0.000,4000,18.323,1082
5267.993,23.366,0.000,0.000,4000,18.323,1082
5274.969,23.366,0.000,0.000,4000,18.323,1082
5284.155,23.366,0.000,0.000,4000,18.323,1082
5289.781,23.366,0.000,3.975,4000,18.323,1082
5295.777,23.366,0.000,3.975,4000,18.323,1082
5302.949,23.366,0.000,3.975,4000,18.323,1082
5309.866,23.366,0.000,3.975,4000,18.323,1082
5317.321,23.366,0.000,3.975,4000,18.323,1082
5323.787,23.366,0.000,3.975,4000,18.323,1082
5331.870,23.370,0.000,3.975,4000,18.323,1033
5339.885,23.370,0.000,3.975,4000,18.323,1033
5345.890,23.370,0.000,3.975,4000,18.323,1033
5353.950,23.370,0.000,3.975,4000,18.323,1033
5360.798,23.370,0.000,3.975,4000,18.323,1033
5367.918,23.370,0.000,3.975,4000,18.323,1033
5373.968,23.370,0.000,3.975,4000,18.323,1033
5381.878,23.370,0.000,3.975,4000,18.323,1033
5388.150,23.370,0.000,3.975,4000,18.369,1033
5394.820,23.370,0.000,3.975,4000,18.369,1033
5401.885,23.370,0.000,3.975,4000,18.369,1033
5409.757,23.370,0.000,3.975,4000,18.369,1033
5416.937,23.370,0.000,3.975,4000,18.369,975
5425.802,23.370,0.000,3.975,4000,18.369,975
5431.850,23.370,0.000,3.975,4000,18.369,975
5439.917,23.370,0.000,3.975,4000,18.369,975
5446.787,23.370,0.000,3.975,4000,18.369,975
5452.859,23.370,0.000,3.975,4000,18.369,975
5460.052,23.370,0.000,3.975,4000,18.369,975
5466.958,23.370,0.000,3.975,4000,18.369,975
5474.000,23.370,0.000,3.975,4000,18.369,975
5480.882,23.370,0.000,3.975,4000,18.369,975
5487.831,23.370,0.000,3.975,4000,18.369,975
5494.804,23.370,0.000,3.975,4000,18.369,975
5502.839,23.370,0.000,3.975,4000,18.369,975
5509.808,23.370,0.000,3.975,4000,18.369,910
5516.820,23.370,0.000,3.975,4000,18.369,910
5524.973,23.370,12.083,3.975,4000,18.369,910
5532.985,23.370,12.083,3.975,4000,18.369,910
5539.808,23.370,12.083,3.975,4000,18.369,910
5545.854,23.370,12.083,3.975,4000,18.369,910
5551.826,23.370,12.083,3.975,4000,18.369,910
5557.795,23.370,12.083,3.975,4000,18.369,910
5563.921,23.370,12.083,3.975,4000,18.369,910
5570.930,23.370,12.083,3.975,4000,18.369,910
5577.809,23.370,12.083,3.975,4000,18.369,910
5586.083,23.375,12.083,3.975,4000,18.369,910
5594.978,23.375,12.083,3.975,4000,18.369,910
5601.919,23.375,12.083,3.975,4000,18.369,883
5609.968,23.375,12.083,3.975,4000,18.369,883
5618.920,23.375,12.083,3.975,4000,18.369,883
5626.905,23.375,12.083,3.975,4000,18.369,883
5635.792,23.371,12.083,3.975,4000,18.369,883
5642.098,23.371,12.083,3.975,4000,18.369,883
5649.042,23.371,12.083,3.975,4000,18.369,883
5655.897,23.371,12.083,3.975,4000,18.369,883
5663.873,23.371,12.083,3.975,4000,18.369,883
5672.127,23.371,12.083,3.975,4000,18.369,883
5678.798,23.371,12.083,3.975,4000,18.369,883
5684.830,23.371,12.083,3.975,4000,18.369,883
5690.900,23.371,12.083,3.975,4000,18.369,866
5696.853,23.371,12.083,3.975,4000,18.369,866
5703.837,23.371,12.083,3.975,4000,18.369,866
5710.812,23.371,12.083,3.975,4000,18.369,866
5717.861,23.371,12.083,3.975,4000,18.369,866
5723.810,23.371,12.083,3.975,4000,18.369,866
5731.094,23.371,12.083,3.975,4000,18.369,866
5737.951,23.371,12.083,3.975,4000,18.369,866
5744.919,23.371,12.083,3.975,4000,18.369,866
5750.809,23.371,12.083,3.975,4000,18.369,866
5757.965,23.371,12.083,3.975,4000,18.369,866
5764.914,23.371,12.083,3.945,4000,18.369,866
5770.931,23.371,12.083,3.945,4000,18.369,866
5777.805,23.366,12.083,3.945,4000,18.369,849
5785.948,23.366,12.083,3.945,4000,18.369,849
5792.874,23.366,12.083,3.945,4000,18.369,849
5799.900,23.366,12.083,3.945,4000,18.369,849
5808.957,23.366,12.083,3.945,4000,18.369,849
5815.925,23.366,12.083,3.945,4000,18.369,849
5823.818,23.366,12.083,3.945,4000,18.369,849
5833.044,23.366,12.083,3.945,4000,18.369,849
5839.850,23.366,12.083,3.945,4000,18.369,849
5846.799,23.366,12.083,3.945,4000,18.369,849
5852.906,23.366,12.083,3.945,4000,18.369,849
5858.904,23.366,12.083,3.945,4000,18.369,849
5865.805,23.366,12.083,3.945,4000,18.369,840
5877.998,23.366,12.083,3.945,4000,18.373,840
5886.722,23.366,12.083,3.945,4000,18.373,840
5895.764,23.366,12.083,3.945,4000,18.373,840
5902.497,23.366,12.083,3.945,4000,18.373,840
5910.930,23.366,12.083,3.945,4000,18.373,840
5916.785,23.366,12.083,3.945,4000,18.373,840
5923.738,23.366,12.083,3.945,4000,18.373,840
5929.738,23.366,12.083,3.945,4000,18.373,840
5935.768,23.366,12.083,3.945,4000,18.373,840
5941.757,23.366,12.083,3.945,4000,18.373,840
5947.736,23.366,12.083,3.945,4000,18.373,840
5953.740,23.366,12.083,3.945,4000,18.373,840
5959.749,23.366,12.083,3.945,4000,18.373,834
5965.734,23.366,12.083,3.945,4000,18.373,834
5972.864,23.366,12.083,3.945,4000,18.373,834
5978.841,23.366,12.083,3.945,4000,18.373,834
5984.735,23.366,12.083,3.945,4000,18.373,834
5990.730,23.366,12.083,3.945,4000,18.373,834
5996.724,23.366,12.083,3.945,4000,18.373,834
6003.869,23.366,12.107,3.945,4000,18.373,834
6009.729,23.366,12.107,3.945,4000,18.373,834
6015.730,23.366,12.107,3.945,4000,18.373,834
6022.561,23.366,12.107,3.945,4000,18.373,834
6028.746,23.366,12.107,3.945,4000,18.373,834
6034.764,23.366,12.107,3.945,4000,18.373,834
6040.732,23.366,12.107,3.945,4000,18.373,834
6046.792,23.366,12.107,3.945,4000,18.373,830
6052.755,23.366,12.107,3.945,4000,18.373,830
6058.760,23.366,12.107,3.945,4000,18.373,830
6064.759,23.366,12.107,3.945,4000,18.373,830
6070.759,23.366,12.107,3.945,4000,18.373,830
6077.183,23.366,12.107,3.945,4000,18.373,830
6083.808,23.366,12.107,3.945,4000,18.373,830
6089.812,23.366,12.107,3.945,4000,18.373,830
6096.843,23.366,12.107,3.945,4000,18.373,830
6102.834,23.366,12.107,3.945,4000,18.373,830
6109.833,23.366,12.107,3.945,4000,18.373,830
6116.821,23.366,12.107,3.945,4000,18.373,830
6123.826,23.366,12.107,3.945,4000,18.373,830
6132.102,23.370,12.107,3.945,4000,18.373,830
6143.761,23.370,12.107,3.945,4000,18.373,827
6149.679,23.370,12.107,3.945,4000,18.373,827
6155.818,23.370,12.107,3.945,4000,18.373,827
6161.672,23.370,12.107,3.945,4000,18.373,827
6167.668,23.370,12.107,3.945,4000,18.373,827
6174.674,23.370,12.107,3.945,4000,18.373,827
6181.751,23.370,12.107,3.945,4000,18.373,827
6187.805,23.370,12.107,3.945,4000,18.373,827
6195.676,23.370,12.107,3.945,4000,18.373,827
6201.801,23.370,12.107,3.945,4000,18.373,827
6207.771,23.370,12.107,3.945,4000,18.373,827
6214.759,23.370,12.107,3.945,4000,18.373,827
6221.653,23.370,12.107,3.945,4000,18.373,827
6228.756,23.366,12.107,3.945,4000,18.373,825
6235.757,23.366,12.107,3.945,4000,18.373,825
6241.793,23.366,12.107,3.945,4000,18.373,825
6247.668,23.366,12.107,3.945,4000,18.373,825
6254.800,23.366,12.107,3.945,4000,18.373,825
6262.909,23.366,12.107,3.945,4000,18.373,825
6269.666,23.366,12.107,3.945,4000,18.373,825
6278.296,23.366,12.107,3.945,4000,18.373,825
6286.783,23.366,12.107,3.945,4000,18.373,825
6292.852,23.366,12.107,3.945,4000,18.373,825
6299.807,23.366,12.107,3.945,4000,18.373,825
6306.703,23.366,12.107,3.945,4000,18.373,825
6313.849,23.366,12.107,3.945,4000,18.373,825
6320.885,23.366,12.107,3.945,4000,18.373,821
6326.896,23.366,12.107,3.945,4000,18.373,821
6332.837,23.366,12.107,3.945,4000,18.373,821
6339.670,23.366,12.107,3.945,4000,18.373,821
6346.883,23.366,12.107,3.945,4000,18.373,821
6352.811,23.366,12.107,3.945,4000,18.373,821
6360.820,23.366,12.107,3.945,4000,18.378,821
6368.750,23.366,12.107,3.945,4000,18.378,821
6375.044,23.366,12.107,3.945,4000,18.378,821
6380.943,23.366,12.107,3.945,4000,18.378,821
6390.393,23.366,12.107,3.945,4000,18.378,821
6397.060,23.366,12.107,3.945,4000,18.378,821
6406.976,23.366,12.107,3.945,4000,18.378,817
6414.876,23.366,12.107,3.945,4000,18.378,817
6421.959,23.366,12.107,3.945,4000,18.378,817
6427.833,23.370,12.107,3.945,4000,18.378,817
6433.961,23.370,12.107,3.945,4000,18.378,817
6441.224,23.370,12.107,3.945,4000,18.378,817
6447.815,23.370,12.107,3.945,4000,18.378,817
6453.804,23.370,12.107,3.945,4000,18.378,817
6459.831,23.370,12.107,3.945,4000,18.378,817
6465.927,23.370,12.107,3.945,4000,18.378,817
6472.934,23.370,12.126,3.945,4000,18.378,817
6479.893,23.375,12.126,3.945,4000,18.378,817
6485.834,23.375,12.126,3.945,4000,18.378,817
6492.112,23.375,12.126,3.945,4000,18.378,817
6498.900,23.375,12.126,3.945,4000,18.378,814
6504.899,23.375,12.126,3.945,4000,18.378,814
6511.464,23.375,12.126,3.945,4000,18.378,814
6519.866,23.375,12.126,3.945,4000,18.378,814
6527.197,23.371,12.126,3.945,4000,18.378,814
6533.852,23.371,12.126,3.945,4000,18.378,814
6540.866,23.371,12.126,3.945,4000,18.378,814
6546.919,23.371,12.126,3.945,4000,18.378,814
6555.113,23.371,12.126,3.945,4000,18.378,814
6563.884,23.371,12.126,3.945,4000,18.378,814
6571.960,23.371,12.126,3.945,4000,18.378,814
6580.811,23.366,12.126,3.945,4000,18.378,814
6586.859,23.366,12.126,3.945,4000,18.378,811
6593.098,23.366,12.126,3.945,4000,18.378,811
6601.860,23.366,12.126,3.945,4000,18.378,811
6609.072,23.366,12.126,3.945,4000,18.378,811
6614.923,23.366,12.126,3.945,4000,18.378,811
6622.892,23.366,12.126,3.945,4000,18.378,811
6628.772,23.366,12.126,3.945,4000,18.378,811
6638.325,23.366,12.126,3.945,4000,18.378,811
6647.863,23.366,12.126,3.945,4000,18.378,811
6656.999,23.366,12.126,3.945,4000,18.378,811
6663.824,23.366,12.126,3.945,4000,18.378,811
6670.921,23.366,12.126,3.945,4000,18.378,811
6676.848,23.366,12.126,3.945,4000,18.378,809
6682.817,23.366,12.126,3.945,4000,18.378,809
6688.968,23.366,12.126,3.945,4000,18.378,809
6696.882,23.366,12.126,3.945,4000,18.378,809
6703.867,23.366,12.126,3.945,4000,18.378,809
6709.870,23.366,12.126,3.945,4000,18.378,809
6715.936,23.366,12.126,3.945,4000,18.378,809
6721.845,23.366,12.126,3.945,4000,18.378,809
6728.920,23.370,12.126,3.945,4000,18.378,809
6736.983,23.370,12.126,3.945,4000,18.378,809
6742.852,23.370,12.126,3.945,4000,18.378,809
6749.874,23.370,12.126,3.945,4000,18.378,809
6756.926,23.370,12.126,3.945,4000,18.378,809
6762.987,23.370,12.126,3.945,4000,18.378,809
6771.241,23.370,12.126,3.945,4000,18.378,808
6779.874,23.375,12.126,3.945,4000,18.378,808
6786.884,23.375,12.126,3.945,4000,18.378,808
6793.849,23.375,12.126,3.945,4000,18.378,808
6800.990,23.375,12.126,3.945,4000,18.378,808
6807.903,23.375,12.126,3.945,4000,18.378,808
6814.008,23.375,12.126,3.945,4000,18.378,808
6822.153,23.375,12.126,3.945,4000,18.378,808
6829.015,23.371,12.126,3.945,4000,18.378,808
6836.877,23.371,12.126,3.945,4000,18.378,808
6842.890,23.371,12.126,3.945,4000,18.379,808
6850.039,23.371,12.126,3.945,4000,18.379,808
6856.924,23.371,12.126,3.945,4000,18.379,807
6863.790,23.371,12.126,3.945,4000,18.379,807
6870.180,23.371,12.126,3.945,4000,18.379,807
6877.814,23.371,12.126,3.945,4000,18.379,807
6884.808,23.371,12.126,3.945,4000,18.379,807
6890.816,23.371,12.126,3.945,4000,18.379,807
6899.108,23.371,12.126,3.945,4000,18.379,807
6908.462,23.371,12.126,3.945,4000,18.379,807
6917.578,23.371,12.126,3.945,4000,18.379,807
6924.880,23.371,12.126,3.945,4000,18.379,807
6930.859,23.371,12.126,3.945,4000,18.379,807
6936.792,23.371,12.126,3.945,4000,18.379,807
6942.787,23.371,12.126,3.945,4000,18.379,807
6948.806,23.371,12.143,3.945,4000,18.379,805
6955.863,23.371,12.143,3.945,4000,18.379,805
6962.021,23.371,12.143,3.945,4000,18.379,805
6968.857,23.371,12.143,3.945,4000,18.379,805
6974.945,23.371,12.143,3.945,4000,18.379,805
6981.875,23.366,12.143,3.945,4000,18.379,805
6988.873,23.366,12.143,3.945,4000,18.379,805
6995.940,23.366,12.143,3.945,4000,18.379,805
7001.853,23.366,12.143,3.945,4000,18.379,805
7008.943,23.366,12.143,3.945,4000,18.379,805
7014.881,23.366,12.143,3.945,4000,18.379,805
7020.994,23.366,12.143,3.945,4000,18.379,805
7031.055,23.370,12.143,3.945,4000,18.379,805
7038.911,23.370,12.143,3.945,4000,18.379,804
7046.376,23.370,12.143,3.945,4000,18.379,804
7056.020,23.370,12.143,3.945,4000,18.379,804
7063.129,23.370,12.143,3.945,4000,18.379,804
7069.935,23.370,12.143,3.945,4000,18.379,804
7077.990,23.370,12.143,3.945,4000,18.379,804
7085.036,23.370,12.143,3.945,4000,18.379,804
7092.942,23.370,12.143,3.945,4000,18.379,804
7098.858,23.370,12.143,3.945,4000,18.379,804
7104.898,23.370,12.143,3.945,4000,18.379,804
7111.093,23.370,12.143,3.945,4000,18.379,804
7118.472,23.370,12.143,3.945,4000,18.379,804
7127.008,23.370,12.143,3.945,4000,18.379,803
7134.347,23.366,12.143,3.945,4000,18.379,803
7141.197,23.366,12.143,3.945,4000,18.379,803
7148.878,23.366,12.143,3.945,4000,18.379,803
7160.767,23.366,12.143,3.945,4000,18.379,803
7168.839,23.366,12.143,3.945,4000,18.379,803
7177.355,23.366,12.143,3.945,4000,18.379,803
7183.907,23.366,12.143,3.943,4000,18.379,803
7192.939,23.366,12.143,3.943,4000,18.379,803
7201.455,23.366,12.143,3.943,4000,18.379,803
7207.870,23.366,12.143,3.943,4000,18.379,803
7215.254,23.366,12.143,3.943,4000,18.379,801
7224.934,23.366,12.143,3.943,4000,18.379,801
7232.949,23.366,12.143,3.943,4000,18.379,801
7238.897,23.366,12.143,3.943,4000,18.379,801
7244.884,23.366,12.143,3.943,4000,18.379,801
7251.871,23.366,12.143,3.943,4000,18.379,801
7257.914,23.366,12.143,3.943,4000,18.379,801
7263.945,23.366,12.143,3.943,4000,18.379,801
7270.849,23.366,12.143,3.943,4000,18.379,801
7276.859,23.366,12.143,3.943,4000,18.379,801
7283.897,23.366,12.143,3.943,4000,18.379,801
7290.884,23.366,12.143,3.943,4000,18.379,801
7301.003,23.366,12.143,3.943,4000,18.379,801
7312.111,23.366,12.143,3.943,4000,18.379,799
7321.078,23.366,12.143,3.943,4000,18.379,799
7328.942,23.366,12.143,3.943,4000,18.379,799
7335.005,23.366,12.143,3.943,4000,18.381,799
7340.867,23.366,12.143,3.943,4000,18.381,799
7347.894,23.366,12.143,3.943,4000,18.381,799
7353.871,23.366,12.143,3.943,4000,18.381,799
7359.866,23.366,12.143,3.943,4000,18.381,799
7365.985,23.366,12.143,3.943,4000,18.381,799
7371.999,23.366,12.143,3.943,4000,18.381,799
7378.900,23.371,12.143,3.943,4000,18.381,799
7386.875,23.371,12.143,3.943,4000,18.381,799
7397.930,23.371,12.143,3.943,4000,18.381,798
7406.966,23.371,12.143,3.943,4000,18.381,798
7417.994,23.371,12.143,3.943,4000,18.381,798
7424.979,23.371,12.161,3.943,4000,18.381,798
7430.939,23.371,12.161,3.943,4000,18.381,798
7439.214,23.371,12.161,3.943,4000,18.381,798
7450.709,23.371,12.161,3.943,4000,18.381,798
7460.203,23.371,12.161,3.943,4000,18.381,798
7468.056,23.371,12.161,3.943,4000,18.381,798
7477.055,23.371,12.161,3.943,4000,18.381,798
7484.822,23.366,12.161,3.943,4000,18.381,796
7502.452,23.366,12.161,3.943,4000,18.381,796
7516.504,23.366,12.161,3.943,4000,18.381,796
7525.088,23.366,12.161,3.943,4000,18.381,796
7534.248,23.370,12.161,3.943,4000,18.381,796
7543.015,23.370,12.161,3.943,4000,18.381,796
7552.941,23.370,12.161,3.943,4000,18.381,796
7561.978,23.370,12.161,3.943,4000,18.381,796
7571.065,23.370,12.161,3.943,4000,18.381,796
7582.191,23.370,12.161,3.943,4000,18.381,794
7590.096,23.370,12.161,3.943,4000,18.381,794
7598.147,23.370,12.161,3.943,4000,18.381,794
7606.179,23.370,12.161,3.943,4000,18.381,794
7613.986,23.370,12.161,3.943,4000,18.381,794
7622.109,23.370,12.161,3.943,4000,18.381,794
7631.114,23.370,12.161,3.943,4000,18.381,794
7638.745,23.370,12.161,3.943,4000,18.381,794
7651.403,23.370,12.161,3.943,4000,18.381,794
7658.964,23.370,12.161,3.943,4000,18.381,794
7668.386,23.370,12.161,3.944,4000,18.381,793
7676.332,23.370,12.161,3.944,4000,18.381,793
7685.035,23.370,12.161,3.944,4000,18.381,793
7691.419,23.370,12.161,3.944,4000,18.381,793
7702.354,23.370,12.161,3.944,4000,18.381,793
7711.159,23.370,12.161,3.944,4000,18.381,793
7719.010,23.370,12.161,3.944,4000,18.381,793
7727.293,23.366,12.161,3.944,4000,18.381,793
7735.640,23.366,12.161,3.944,4000,18.381,793
7760.044,23.366,12.161,3.944,4000,18.381,791
7770.281,23.366,12.161,3.944,4000,18.381,791
7781.068,23.371,12.161,3.944,4000,18.381,791
7792.122,23.371,12.161,3.944,4000,18.381,791
7805.882,23.371,12.161,3.944,4000,18.381,791
7815.925,23.371,12.161,3.944,4000,18.383,791
7821.887,23.371,12.161,3.944,4000,18.383,791
7828.897,23.371,12.161,3.944,4000,18.383,791
7834.867,23.371,12.161,3.944,4000,18.383,791
7841.961,23.371,12.161,3.944,4000,18.383,791
7848.423,23.371,12.161,3.944,4000,18.383,790
7855.822,23.371,12.161,3.944,4000,18.383,790
7861.910,23.371,12.161,3.944,4000,18.383,790
7867.855,23.371,12.161,3.944,4000,18.383,790
7873.835,23.371,12.161,3.944,4000,18.383,790
7879.862,23.366,12.161,3.944,4000,18.383,790
7885.808,23.366,12.161,3.944,4000,18.383,790
7891.825,23.366,12.161,3.944,4000,18.383,790
7898.938,23.366,12.180,3.944,4000,18.383,790
7904.810,23.366,12.180,3.944,4000,18.383,790
7910.804,23.366,12.180,3.944,4000,18.383,790
7918.846,23.366,12.180,3.944,4000,18.383,790
7924.959,23.366,12.180,3.944,4000,18.383,790
7930.824,23.366,12.180,3.944,4000,18.383,790
7939.830,23.366,12.180,3.944,4000,18.383,790
7945.868,23.366,12.180,3.944,4000,18.383,790
7951.870,23.366,12.180,3.944,4000,18.383,790
7957.808,23.366,12.180,3.944,4000,18.383,790
7967.018,23.366,12.180,3.944,4000,18.383,790
7972.909,23.366,12.180,3.944,4000,18.383,790
7978.820,23.366,12.180,3.944,4000,18.383,790
7984.929,23.366,12.180,3.944,4000,18.383,790
7990.906,23.366,12.180,3.944,4000,18.383,790
7996.833,23.366,12.180,3.944,4000,18.383,790
8002.848,23.366,12.180,3.944,4000,18.383,790
8008.945,23.366,12.180,3.944,4000,18.383,790
8014.827,23.366,12.180,3.944,4000,18.383,790
8022.891,23.366,12.180,3.944,4000,18.383,789
8030.983,23.370,12.180,3.944,4000,18.383,789
8036.875,23.370,12.180,3.944,4000,18.383,789
8042.823,23.370,12.180,3.944,4000,18.383,789
8048.823,23.370,12.180,3.944,4000,18.383,789
8054.828,23.370,12.180,3.944,4000,18.383,789
8060.848,23.370,12.180,3.944,4000,18.383,789
8066.883,23.370,12.180,3.944,4000,18.383,789
8072.837,23.370,12.180,3.944,4000,18.383,789
8078.814,23.370,12.180,3.944,4000,18.383,789
8084.840,23.370,12.180,3.944,4000,18.383,789
8090.898,23.370,12.180,3.944,4000,18.383,789
8097.877,23.370,12.180,3.944,4000,18.383,789
8103.865,23.370,12.180,3.944,4000,18.383,789
8109.888,23.370,12.180,3.944,4000,18.383,789
8116.771,23.370,12.180,3.944,4000,18.383,788
8123.770,23.370,12.180,3.944,4000,18.383,788
8129.756,23.366,12.180,3.944,4000,18.383,788
8136.877,23.366,12.180,3.944,4000,18.383,788
8142.923,23.366,12.180,3.944,4000,18.383,788
8148.786,23.366,12.180,3.944,4000,18.383,788
8155.936,23.366,12.180,3.944,4000,18.383,788
8162.876,23.366,12.180,3.944,4000,18.383,788
8171.720,23.366,12.180,3.944,4000,18.383,788
8177.950,23.366,12.180,3.944,4000,18.383,788
8184.897,23.366,12.180,3.944,4000,18.383,788
8190.776,23.366,12.180,3.944,4000,18.383,788
8197.880,23.366,12.180,3.944,4000,18.383,788
8204.949,23.366,12.180,3.944,4000,18.383,787
8211.902,23.366,12.180,3.944,4000,18.383,787
8219.919,23.366,12.180,3.944,4000,18.383,787
8225.842,23.366,12.180,3.944,4000,18.383,787
8231.703,23.366,12.180,3.944,4000,18.383,787
8238.455,23.366,12.180,3.944,4000,18.383,787
8262.728,23.366,12.180,3.944,4000,18.383,787
8275.087,23.366,12.180,3.944,4000,18.383,787
8285.618,23.366,12.180,3.944,4000,18.383,787
8298.968,23.366,12.180,3.944,4000,18.383,786
8307.924,23.366,12.180,3.944,4000,18.383,786
8320.190,23.366,12.180,3.944,4000,18.383,786
8329.881,23.366,12.180,3.944,4000,18.383,786
8346.126,23.366,12.180,3.944,4000,18.383,786
8356.922,23.366,12.180,3.944,4000,18.383,786
8374.707,23.366,12.180,3.944,4000,18.383,786
8386.975,23.371,12.192,3.944,4000,18.383,786
8397.013,23.371,12.192,3.944,4000,18.383,786
8407.610,23.371,12.192,3.944,4000,18.383,786
8413.974,23.371,12.192,3.944,4000,18.383,786
8427.296,23.371,12.192,3.944,4000,18.383,786
8436.614,23.375,12.192,3.944,4000,18.383,786
8443.859,23.375,12.192,3.944,4000,18.383,786
8449.899,23.375,12.192,3.944,4000,18.383,786
8455.840,23.375,12.192,3.944,4000,18.383,786
8461.820,23.375,12.192,3.944,4000,18.383,786
8467.846,23.375,12.192,3.944,4000,18.383,786
8473.856,23.375,12.192,3.944,4000,18.383,785
8480.850,23.370,12.192,3.944,4000,18.383,785
8487.994,23.370,12.192,3.944,4000,18.383,785
8493.855,23.370,12.192,3.944,4000,18.383,785
8499.876,23.370,12.192,3.944,4000,18.383,785
8505.835,23.370,12.192,3.944,4000,18.383,785
8511.863,23.370,12.192,3.944,4000,18.383,785
8517.844,23.370,12.192,3.944,4000,18.383,785
8525.073,23.370,12.192,3.944,4000,18.383,785
8531.973,23.370,12.192,3.944,4000,18.383,785
8537.930,23.370,12.192,3.944,4000,18.383,785
8543.863,23.370,12.192,3.944,4000,18.383,785
8549.863,23.370,12.192,3.944,4000,18.383,785
8555.853,23.370,12.192,3.944,4000,18.383,785
8561.838,23.370,12.192,3.944,4000,18.383,785
8567.848,23.370,12.192,3.944,4000,18.383,784
8574.073,23.370,12.192,3.944,4000,18.383,784
8579.902,23.370,12.192,3.944,4000,18.383,784
8585.845,23.370,12.192,3.944,4000,18.383,784
8591.822,23.370,12.192,3.944,4000,18.383,784
8597.822,23.370,12.192,3.944,4000,18.383,784
8603.839,23.370,12.192,3.944,4000,18.383,784
8609.834,23.370,12.192,3.944,4000,18.383,784
8617.013,23.370,12.192,3.944,4000,18.383,784
8622.856,23.370,12.192,3.944,4000,18.383,784
8629.007,23.366,12.192,3.944,4000,18.383,784
8634.753,23.366,12.192,3.944,4000,18.383,784
8640.824,23.366,12.192,3.944,4000,18.383,784
8646.846,23.366,12.192,3.944,4000,18.383,784
8652.863,23.366,12.192,3.944,4000,18.383,783
8658.706,23.366,12.192,3.944,4000,18.383,783
8664.847,23.366,12.192,3.944,4000,18.383,783
8670.864,23.366,12.192,3.944,4000,18.383,783
8676.911,23.366,12.192,3.944,4000,18.383,783
8682.855,23.366,12.192,3.944,4000,18.383,783
8688.839,23.366,12.192,3.944,4000,18.383,783
8695.038,23.366,12.192,3.944,4000,18.383,783
8700.854,23.366,12.192,3.944,4000,18.383,783
8706.869,23.366,12.192,3.944,4000,18.383,783
8712.846,23.366,12.192,3.944,4000,18.383,783
8718.843,23.366,12.192,3.944,4000,18.383,783
8724.687,23.366,12.192,3.944,4000,18.383,783
8730.877,23.370,12.192,3.944,4000,18.383,783
8736.716,23.370,12.192,3.944,4000,18.383,783
8742.760,23.370,12.192,3.944,4000,18.383,782
8748.726,23.370,12.192,3.944,4000,18.383,782
8754.856,23.370,12.192,3.944,4000,18.383,782
8761.267,23.370,12.192,3.944,4000,18.383,782
8770.742,23.370,12.192,3.944,4000,18.383,782
8783.408,23.370,12.192,3.944,4000,18.383,782
8795.599,23.370,12.192,3.944,4000,18.386,782
8808.335,23.370,12.192,3.944,4000,18.386,782
8818.399,23.370,12.192,3.944,4000,18.386,782
8826.731,23.370,12.192,3.944,4000,18.386,782
8846.006,23.366,12.192,3.944,4000,18.386,781
8857.420,23.366,12.209,3.944,4000,18.386,781
8867.829,23.366,12.209,3.944,4000,18.386,781
8877.068,23.366,12.209,3.944,4000,18.386,781
8885.712,23.371,12.209,3.944,4000,18.386,781
8898.083,23.371,12.209,3.944,4000,18.386,781
8908.248,23.371,12.209,3.944,4000,18.386,781
8920.007,23.371,12.209,3.944,4000,18.386,781
8930.267,23.375,12.209,3.944,4000,18.386,779
8937.962,23.375,12.209,3.944,4000,18.386,779
8943.775,23.375,12.209,3.944,4000,18.386,779
8949.713,23.375,12.209,3.944,4000,18.386,779
8955.887,23.375,12.209,3.944,4000,18.386,779
8961.845,23.375,12.209,3.944,4000,18.386,779
8967.720,23.375,12.209,3.944,4000,18.386,779
8973.894,23.375,12.209,3.944,4000,18.386,779
8979.720,23.370,12.209,3.944,4000,18.386,779
8985.940,23.370,12.209,3.944,4000,18.386,779
8992.767,23.370,12.209,3.944,4000,18.386,779
8998.904,23.370,12.209,3.944,4000,18.386,779
9004.875,23.370,12.209,3.944,4000,18.386,779
